waveform,Trig,V_R
t0,4/16/2021  12:09:18.209143,4/16/2021  12:09:18.209144
delta t,1.650000E-6,1.650000E-6

time,Trig,V_R
4/16/2021  12:09:18.209477,4.983179E+0,7.206083E-3
4/16/2021  12:09:18.209478,4.976089E+0,7.238285E-3
4/16/2021  12:09:18.209480,4.975767E+0,7.238285E-3
4/16/2021  12:09:18.209482,4.978022E+0,7.302687E-3
4/16/2021  12:09:18.209483,4.976733E+0,7.244725E-3
4/16/2021  12:09:18.209485,4.975122E+0,7.193203E-3
4/16/2021  12:09:18.209487,4.979956E+0,7.135240E-3
4/16/2021  12:09:18.209488,4.975767E+0,7.109479E-3
4/16/2021  12:09:18.209490,4.975444E+0,6.993554E-3
4/16/2021  12:09:18.209492,4.978667E+0,6.987114E-3
4/16/2021  12:09:18.209493,4.975767E+0,6.884070E-3
4/16/2021  12:09:18.209495,4.976089E+0,6.851868E-3
4/16/2021  12:09:18.209496,4.978989E+0,6.871189E-3
4/16/2021  12:09:18.209498,4.978022E+0,6.877630E-3
4/16/2021  12:09:18.209500,4.977378E+0,6.935592E-3
4/16/2021  12:09:18.209501,4.978667E+0,7.025756E-3
4/16/2021  12:09:18.209503,4.973833E+0,6.980674E-3
4/16/2021  12:09:18.209505,4.977700E+0,7.045077E-3
4/16/2021  12:09:18.209506,4.977056E+0,7.057957E-3
4/16/2021  12:09:18.209508,4.975122E+0,7.103039E-3
4/16/2021  12:09:18.209510,4.977056E+0,7.167442E-3
4/16/2021  12:09:18.209511,4.978667E+0,7.173882E-3
4/16/2021  12:09:18.209513,4.975122E+0,7.161001E-3
4/16/2021  12:09:18.209515,4.977378E+0,7.186763E-3
4/16/2021  12:09:18.209516,4.976733E+0,7.141681E-3
4/16/2021  12:09:18.209518,4.977056E+0,7.115920E-3
4/16/2021  12:09:18.209520,4.978667E+0,7.128800E-3
4/16/2021  12:09:18.209521,4.977056E+0,7.032196E-3
4/16/2021  12:09:18.209523,4.978022E+0,7.019315E-3
4/16/2021  12:09:18.209525,4.978667E+0,6.993554E-3
4/16/2021  12:09:18.209526,4.978022E+0,6.974234E-3
4/16/2021  12:09:18.209528,4.978022E+0,6.967793E-3
4/16/2021  12:09:18.209529,4.980600E+0,6.922711E-3
4/16/2021  12:09:18.209531,4.975767E+0,6.942032E-3
4/16/2021  12:09:18.209533,4.977700E+0,6.948473E-3
4/16/2021  12:09:18.209534,4.978345E+0,6.980674E-3
4/16/2021  12:09:18.209536,4.976411E+0,7.012875E-3
4/16/2021  12:09:18.209538,4.978022E+0,7.038636E-3
4/16/2021  12:09:18.209539,4.978667E+0,7.096599E-3
4/16/2021  12:09:18.209541,4.973833E+0,7.115920E-3
4/16/2021  12:09:18.209543,4.973833E+0,7.096599E-3
4/16/2021  12:09:18.209544,4.977700E+0,7.083718E-3
4/16/2021  12:09:18.209546,4.976411E+0,7.103039E-3
4/16/2021  12:09:18.209548,4.978989E+0,7.141681E-3
4/16/2021  12:09:18.209549,4.977056E+0,7.077278E-3
4/16/2021  12:09:18.209551,4.975767E+0,7.077278E-3
4/16/2021  12:09:18.209553,4.978022E+0,7.064397E-3
4/16/2021  12:09:18.209554,4.978345E+0,7.057957E-3
4/16/2021  12:09:18.209556,4.975444E+0,7.051517E-3
4/16/2021  12:09:18.209558,4.978667E+0,7.064397E-3
4/16/2021  12:09:18.209559,4.976411E+0,7.012875E-3
4/16/2021  12:09:18.209561,4.976411E+0,7.038636E-3
4/16/2021  12:09:18.209562,4.978989E+0,7.019315E-3
4/16/2021  12:09:18.209564,4.976411E+0,6.999995E-3
4/16/2021  12:09:18.209566,4.977378E+0,7.012875E-3
4/16/2021  12:09:18.209567,4.976733E+0,6.999995E-3
4/16/2021  12:09:18.209569,4.974478E+0,6.999995E-3
4/16/2021  12:09:18.209571,4.976411E+0,7.070838E-3
4/16/2021  12:09:18.209572,4.976733E+0,7.070838E-3
4/16/2021  12:09:18.209574,4.975444E+0,7.057957E-3
4/16/2021  12:09:18.209576,4.978022E+0,7.083718E-3
4/16/2021  12:09:18.209577,4.976411E+0,7.109479E-3
4/16/2021  12:09:18.209579,4.976411E+0,7.064397E-3
4/16/2021  12:09:18.209581,4.976733E+0,7.051517E-3
4/16/2021  12:09:18.209582,4.977700E+0,7.057957E-3
4/16/2021  12:09:18.209584,4.975767E+0,7.057957E-3
4/16/2021  12:09:18.209586,4.978022E+0,7.090158E-3
4/16/2021  12:09:18.209587,4.976733E+0,7.064397E-3
4/16/2021  12:09:18.209589,4.979956E+0,7.070838E-3
4/16/2021  12:09:18.209591,4.979634E+0,7.006435E-3
4/16/2021  12:09:18.209592,4.975122E+0,7.038636E-3
4/16/2021  12:09:18.209594,4.974800E+0,6.987114E-3
4/16/2021  12:09:18.209595,4.978667E+0,7.038636E-3
4/16/2021  12:09:18.209597,4.973833E+0,7.006435E-3
4/16/2021  12:09:18.209599,4.975767E+0,6.999995E-3
4/16/2021  12:09:18.209600,4.978345E+0,7.045077E-3
4/16/2021  12:09:18.209602,4.974800E+0,7.032196E-3
4/16/2021  12:09:18.209604,4.978022E+0,7.051517E-3
4/16/2021  12:09:18.209605,4.975767E+0,7.064397E-3
4/16/2021  12:09:18.209607,4.976733E+0,7.090158E-3
4/16/2021  12:09:18.209609,4.978345E+0,7.057957E-3
4/16/2021  12:09:18.209610,4.978989E+0,7.057957E-3
4/16/2021  12:09:18.209612,4.975122E+0,7.057957E-3
4/16/2021  12:09:18.209614,4.977378E+0,7.064397E-3
4/16/2021  12:09:18.209615,4.976733E+0,7.103039E-3
4/16/2021  12:09:18.209617,4.975444E+0,7.064397E-3
4/16/2021  12:09:18.209619,4.979956E+0,7.090158E-3
4/16/2021  12:09:18.209620,4.977378E+0,7.051517E-3
4/16/2021  12:09:18.209622,4.976733E+0,7.038636E-3
4/16/2021  12:09:18.209624,4.979311E+0,7.070838E-3
4/16/2021  12:09:18.209625,4.976733E+0,7.064397E-3
4/16/2021  12:09:18.209627,4.974155E+0,7.032196E-3
4/16/2021  12:09:18.209628,4.978022E+0,7.012875E-3
4/16/2021  12:09:18.209630,4.977056E+0,7.051517E-3
4/16/2021  12:09:18.209632,4.978022E+0,7.045077E-3
4/16/2021  12:09:18.209633,4.979311E+0,7.045077E-3
4/16/2021  12:09:18.209635,4.977700E+0,7.012875E-3
4/16/2021  12:09:18.209637,4.978345E+0,6.980674E-3
